epoch,loss,true_loss,train_loss,validation_loss,batch_loss_mean
1.0,6.8335723876953125,6.8335723876953125,6.833017349243164,6.836053848266602,6.877524171556745
2.0,6.759121894836426,6.759121894836426,6.758062839508057,6.764471530914307,6.801193577902658
3.0,6.68079948425293,6.68079948425293,6.679281234741211,6.689280986785889,6.725667612893241
4.0,6.601740837097168,6.601740837097168,6.599696159362793,6.61332368850708,6.647578580038888
5.0,6.523438930511475,6.523438930511475,6.521167755126953,6.536036968231201,6.566928114209857
6.0,6.44737434387207,6.44737434387207,6.444558143615723,6.4617018699646,6.488686289106097
7.0,6.373874187469482,6.373874187469482,6.370988845825195,6.38749361038208,6.411905152457101
8.0,6.30322790145874,6.30322790145874,6.299713134765625,6.318063735961914,6.341488701956613
9.0,6.235543251037598,6.235543251037598,6.231817245483398,6.250723838806152,6.271725518362863
10.0,6.171586036682129,6.171586036682129,6.16721773147583,6.188880920410156,6.2076994350978305
11.0,6.110217094421387,6.110217094421387,6.105990409851074,6.127279281616211,6.143980707441058
12.0,6.053097248077393,6.053097248077393,6.047671318054199,6.071926593780518,6.085198947361538
13.0,5.99729061126709,5.99729061126709,5.992069721221924,6.017274379730225,6.027441842215402
14.0,5.945792198181152,5.945792198181152,5.939560890197754,5.968628883361816,5.970798219953265
15.0,5.895476818084717,5.895476818084717,5.8893232345581055,5.919875621795654,5.914487770625523
16.0,5.847843647003174,5.847843647003174,5.841409683227539,5.874910831451416,5.869899409157889
17.0,5.803197383880615,5.803197383880615,5.795929431915283,5.833296775817871,5.818666390010288
18.0,5.7609405517578125,5.7609405517578125,5.753775119781494,5.792856216430664,5.785961900438581
19.0,5.7202534675598145,5.7202534675598145,5.7120819091796875,5.7543511390686035,5.733786991664341
20.0,5.682371139526367,5.682371139526367,5.673612117767334,5.719250679016113,5.692126410348075
