epoch,loss,true_loss,train_loss,validation_loss,batch_loss_mean
1.0,6.838383197784424,6.838587284088135,6.83827543258667,6.840755939483643,6.87738425391061
2.0,6.771720886230469,6.7718329429626465,6.771121025085449,6.77524995803833,6.810785157339914
3.0,6.702400207519531,6.702401638031006,6.701314926147461,6.708038806915283,6.742744445800781
4.0,6.63326358795166,6.63326358795166,6.6317596435546875,6.641303062438965,6.670822211674282
5.0,6.567622661590576,6.567622661590576,6.5656633377075195,6.578132152557373,6.604303019387381
6.0,6.506674766540527,6.506674766540527,6.504220485687256,6.519637107849121,6.542145933423724
7.0,6.45078182220459,6.450782299041748,6.447844505310059,6.465888500213623,6.478694915771484
8.0,6.3987579345703125,6.3987579345703125,6.3953471183776855,6.415754318237305,6.426289081573486
9.0,6.3507585525512695,6.3507585525512695,6.346909046173096,6.369448184967041,6.374587876456125
10.0,6.306390762329102,6.306390285491943,6.302107810974121,6.326893329620361,6.325519561767578
11.0,6.26500940322876,6.265008926391602,6.260375499725342,6.28662109375,6.2829717227390836
12.0,6.226814270019531,6.226814270019531,6.221864223480225,6.249793529510498,6.24056373323713
13.0,6.191091537475586,6.191091537475586,6.185817241668701,6.215362071990967,6.204154559544155
14.0,6.157892227172852,6.157892227172852,6.152336597442627,6.183213233947754,6.169539724077497
15.0,6.1271071434021,6.1271071434021,6.121246814727783,6.153562545776367,6.140368665967669
16.0,6.0984697341918945,6.0984697341918945,6.092302322387695,6.125577926635742,6.10762711933681
17.0,6.071730613708496,6.071730613708496,6.065298557281494,6.099714279174805,6.076074600219727
18.0,6.046806335449219,6.046806812286377,6.040093898773193,6.075723648071289,6.058568068913051
19.0,6.023774147033691,6.023774147033691,6.016808986663818,6.053440570831299,6.030516624450684
20.0,6.002158164978027,6.002158164978027,5.994980335235596,6.032759189605713,6.005611964634487
